Имя теста,Время (с),Размерность,crit1,crit2,Средняя память (MB),Максимальная память (MB),Кол. уравнений,Кол. переменных,Память в секунду (MB/s),Сумма критериев
des18_3,4.2631,8,275,375,44.3062,56.1133,8,8,13.1626,650
des22_24,4.9300,10,501,370,47.1022,59.3164,10,10,12.0317,871
dessin1,4.2052,8,275,377,44.3844,56.3086,8,8,13.3902,652
dessin2,7.4610,10,558,333,50.2432,60.7305,10,10,8.1397,891
eco7,1.7660,7,261,217,35.8789,53.8203,7,7,30.4758,478
eco8,16.5891,8,789,959,54.8079,59.4414,8,8,3.5832,1748
eco9,182.8818,9,2206,3571,70.6546,72.8945,9,9,0.3986,5777
extcyc4,0.3827,5,137,460,0.4062,0.4062,5,5,1.0615,597
extcyc5,69.5888,6,738,9167,71.5584,86.8164,6,6,1.2476,9905
f633,1.0690,10,318,627,26.3027,52.4023,9,10,49.0200,945
f744,217.8808,12,3574,4121,99.0200,114.0078,12,12,0.5233,7695
fabrice24,136.2122,9,1225,1051,110.3032,129.6641,9,9,0.9519,2276
filter9,184.0103,9,6284,17292,85.4673,102.6836,9,9,0.5580,23576
geneig,0.5902,6,94,51,0.2031,0.2031,6,6,0.3442,145
hairer1,0.0331,8,42,24,0.2070,0.2070,6,8,6.2547,66
hcyclic5,0.1589,6,89,542,0.2656,0.2656,5,6,1.6716,631
hcyclic6,5.3359,7,273,4129,46.3040,56.1523,6,7,10.5235,4402
heart,0.0706,8,75,3,0.1992,0.1992,8,8,2.8218,78
hemmecke,0.0466,4,11,14,0.5508,0.5508,3,4,11.8193,25
hf744,173.3241,13,1906,18083,76.4910,82.0156,12,13,0.4732,19989
hietarinta1,200.9979,10,6214,5858,109.2139,128.9219,62,10,0.6414,12072
hunecke,0.0054,5,1,15,27.7695,51.8438,8,5,9600.6944,16
i1,250.9532,12,3516,3515,171.0230,214.6328,10,12,0.8553,7031
issac97,0.1512,4,25,15,27.7207,53.7031,4,4,355.1794,40
jcf26,279.1705,34,3689,1037,158.9669,200.0781,34,34,0.7167,4726
katsura6,7.0576,7,280,429,50.0326,56.3438,7,7,7.9834,709
katsura7,57.3364,8,719,1755,63.8821,66.6289,8,8,1.1621,2474
katsura8,529.9113,9,2237,7425,100.1344,107.2109,9,9,0.2023,9662
kin1,52.6781,12,2022,1808,78.6396,97.2695,12,12,1.8465,3830
kinema,6.0770,9,377,325,49.5869,56.8789,9,9,9.3597,702
kotsireas,391.3275,7,747,2969,275.7465,340.2031,6,7,0.8694,3716
ku10,0.1221,10,795,123,27.2129,52.6758,10,10,431.4151,918
lanconelli,0.0040,11,7,2,26.6523,51.8633,4,11,12965.8203,9
lichtblau,0.7076,3,4,111,29.6172,58.3984,2,3,82.5303,115
liu,0.0489,6,22,57,26.9727,52.1953,4,6,1067.3888,79
lorentz,0.0235,4,27,15,28.1504,52.0430,4,4,2214.5944,42
matrix,2.0248,16,4951,6864,41.0205,54.2109,16,16,26.7735,11815
mickey,0.0003,2,1,0,26.6660,51.7031,2,2,172343.7500,1
morgenstern,0.1655,9,114,160,27.3281,52.5508,5,9,317.5274,274
noon5,7.3520,5,304,1988,49.9288,56.6211,5,5,7.7015,2292
noon6,190.0096,6,1432,16306,67.9186,69.7070,6,6,0.3669,17738
puma,0.0561,8,84,6,27.6426,53.1797,8,8,947.9445,90
quadfor2,0.0016,5,8,0,26.6680,51.7344,4,5,32333.9844,8
quadgrid,0.0278,6,22,2,27.1250,52.6719,5,6,1894.6718,24
rabmo,2.1460,9,318,63,41.3975,54.6992,9,9,25.4889,381
rbpl,177.4181,8,1454,7244,75.0797,80.1094,6,8,0.4515,8698
rbpl24,110.4660,9,1227,1011,107.3966,129.7930,9,9,1.1750,2238
redcyc5,0.2544,6,93,158,27.5059,53.5117,5,6,210.3448,251
redcyc6,10.6081,7,424,1988,51.7425,56.8789,6,7,5.3618,2412
redeco10,165.5321,10,7418,24792,73.8725,79.2500,10,10,0.4788,32210
redeco7,0.5586,7,203,249,27.4785,53.6602,7,7,96.0619,452
redeco8,4.5003,8,659,1242,46.6374,56.0430,8,8,12.4532,1901
redeco9,24.6456,9,2194,5727,57.1462,60.5977,9,9,2.4588,7921
reif,0.0757,16,302,24,26.9727,52.3711,14,16,691.8242,326
reimer4,4.4627,4,64,311,47.5612,56.9141,4,4,12.7533,375
reimer5,84.4954,5,279,1965,74.2024,80.6211,5,5,0.9541,2244
rose,0.2078,3,12,110,27.2266,53.4375,3,3,257.1583,122
s9_1,0.0612,8,74,9,27.4668,53.0938,8,8,867.5449,83
solotarev,0.0083,4,18,2,27.1172,51.8945,4,4,6252.3532,20
sparse5,0.0016,5,10,0,26.5625,51.7344,5,5,32333.9844,10
speer,10.9220,6,117,2167,52.6238,57.8047,4,6,5.2925,2284
tangents,1.4600,6,226,139,37.4284,55.2617,6,6,37.8505,365
test,0.0061,3,1,4,26.9707,51.8438,4,3,8498.9754,5
uteshev_bikker,0.4900,4,36,62,27.9805,54.5625,4,4,111.3520,98
vermeer,0.9010,5,54,212,36.2995,53.9688,4,5,59.8987,266
