Имя теста,Время (с),Размерность,crit1,crit2,Средняя память (MB),Максимальная память (MB),Кол. уравнений,Кол. переменных,Память в секунду (MB/s),Сумма критериев
assur44,324.9751,8,1933,3552,145.3287,193.9805,8,8,0.5969,5485
benchmark_D1,59.4373,12,2279,2003,80.1376,102.8828,12,12,1.7309,4282
benchmark_i1,296.1905,10,3518,3556,186.4006,232.1406,10,10,0.7838,7074
boon,0.0833,6,108,29,0.3984,0.3984,6,6,4.7832,137
butcher,2.9489,7,199,393,40.6855,54.5352,7,7,18.4934,592
butcher8,21.2495,8,569,1330,59.5572,66.7383,8,8,3.1407,1899
camera1s,1.3543,6,177,96,27.8301,54.9141,6,6,40.5479,273
caprasse,0.1292,4,65,188,0.1914,0.1914,4,4,1.4815,253
cassou,2.4246,5,39,154,39.2982,61.3008,4,5,25.2828,193
chandra4,0.0287,4,19,7,1.0273,1.0273,4,4,35.7959,26
chandra5,0.1141,5,59,48,0.1992,0.1992,5,5,1.7460,107
chandra6,0.6295,6,188,262,0.0996,0.1992,6,6,0.3165,450
chemequ,0.4925,5,81,60,0.2031,0.2031,5,5,0.4124,141
chemequs,1.2731,5,95,79,29.1094,57.8164,5,5,45.4139,174
chemkin,598.2644,11,2210,3914,197.7055,324.6602,11,11,0.5427,6124
cohn2,3.1888,4,0,417,42.6172,57.9609,4,4,18.1764,417
cohn3,2693.8614,4,79,7341,507.8188,567.3125,4,4,0.2106,7420
comb3000,0.1086,10,151,19,0.2031,0.2031,10,10,1.8704,170
comb3000s,0.1282,10,151,20,0.3125,0.3125,10,10,2.4376,171
conform1,0.0231,3,9,30,0.1992,0.1992,3,3,8.6242,39
cpdm5,43.4864,5,348,2586,62.0093,64.6016,5,5,1.4856,2934
cyclic5,0.2615,5,98,350,0.1992,0.1992,5,5,0.7618,448
cyclic6,14.5177,6,564,3891,55.5917,63.3516,6,6,4.3637,4455
d1,61.1642,12,2279,1994,84.8789,106.0820,12,12,1.7344,4273
