test_name,time_raw,dimension,crit1,crit2,avg_memory_mb,max_memory_mb,equation_count,variable_count,memory_per_sec,criteria_sum,resource,config,source_file,test_key,time_seconds,timeout_seconds,timed_out,effective_time_seconds
filter9,130.3638,9,5921.0,16640.0,77.8758,90.25,9,9,0.6923,22561.0,CPU,1,data/series_1/CPU/summary_1.csv,filter9,130.3638,,False,130.3638
geneig,0.5113,6,94.0,53.0,0.1992,0.1992,6,6,0.3896,147.0,CPU,1,data/series_1/CPU/summary_1.csv,geneig,0.5113,,False,0.5113
hairer1,0.0319,8,42.0,24.0,0.2578,0.2578,6,8,8.0819,66.0,CPU,1,data/series_1/CPU/summary_1.csv,hairer1,0.0319,,False,0.0319
hcyclic5,0.1508,6,89.0,542.0,0.207,0.207,5,6,1.3729,631.0,CPU,1,data/series_1/CPU/summary_1.csv,hcyclic5,0.1508,,False,0.1508
hcyclic6,4.8576,7,273.0,4134.0,46.3275,56.0234,6,7,11.5332,4407.0,CPU,1,data/series_1/CPU/summary_1.csv,hcyclic6,4.8576,,False,4.8576
heart,0.0636,8,75.0,3.0,0.2031,0.2031,8,8,3.1938,78.0,CPU,1,data/series_1/CPU/summary_1.csv,heart,0.0636,,False,0.0636
hemmecke,0.0417,4,11.0,14.0,0.2031,0.2031,3,4,4.8711,25.0,CPU,1,data/series_1/CPU/summary_1.csv,hemmecke,0.0417,,False,0.0417
hf744,157.1182,13,1906.0,18074.0,76.244,81.8125,12,13,0.5207,19980.0,CPU,1,data/series_1/CPU/summary_1.csv,hf744,157.1182,,False,157.1182
hietarinta1,165.1406,10,6692.0,6468.0,103.0396,124.7305,62,10,0.7553,13160.0,CPU,1,data/series_1/CPU/summary_1.csv,hietarinta1,165.1406,,False,165.1406
hunecke,0.0052,5,1.0,15.0,0.2031,0.2031,8,5,39.0625,16.0,CPU,1,data/series_1/CPU/summary_1.csv,hunecke,0.0052,,False,0.0052
i1,227.915,12,3496.0,3539.0,195.7644,240.3281,10,12,1.0545,7035.0,CPU,1,data/series_1/CPU/summary_1.csv,i1,227.915,,False,227.915
issac97,0.1155,4,25.0,18.0,0.2031,0.2031,4,4,1.7587,43.0,CPU,1,data/series_1/CPU/summary_1.csv,issac97,0.1155,,False,0.1155
jcf26,173.0036,34,3643.0,1070.0,130.0745,157.4453,34,34,0.9101,4713.0,CPU,1,data/series_1/CPU/summary_1.csv,jcf26,173.0036,,False,173.0036
katsura6,5.7753,7,280.0,431.0,47.8047,56.2031,7,7,9.7316,711.0,CPU,1,data/series_1/CPU/summary_1.csv,katsura6,5.7753,,False,5.7753
katsura7,49.1065,8,719.0,1753.0,62.9995,65.7578,8,8,1.3391,2472.0,CPU,1,data/series_1/CPU/summary_1.csv,katsura7,49.1065,,False,49.1065
katsura8,451.5091,9,2237.0,7420.0,101.3586,108.5,9,9,0.2403,9657.0,CPU,1,data/series_1/CPU/summary_1.csv,katsura8,451.5091,,False,451.5091
kin1,47.917,12,2022.0,1797.0,81.2699,101.1953,12,12,2.1119,3819.0,CPU,1,data/series_1/CPU/summary_1.csv,kin1,47.917,,False,47.917
kinema,6.2215,9,413.0,396.0,49.6574,59.1641,9,9,9.5096,809.0,CPU,1,data/series_1/CPU/summary_1.csv,kinema,6.2215,,False,6.2215
kotsireas,357.3355,7,747.0,2964.0,281.9346,344.6992,6,7,0.9646,3711.0,CPU,1,data/series_1/CPU/summary_1.csv,kotsireas,357.3355,,False,357.3355
ku10,0.104,10,795.0,185.0,0.2031,0.2031,10,10,1.9531,980.0,CPU,1,data/series_1/CPU/summary_1.csv,ku10,0.104,,False,0.104
lanconelli,0.0037,11,7.0,2.0,0.3945,0.3945,4,11,106.6301,9.0,CPU,1,data/series_1/CPU/summary_1.csv,lanconelli,0.0037,,False,0.0037
lichtblau,0.6082,3,4.0,116.0,0.1836,0.1836,2,3,0.3019,120.0,CPU,1,data/series_1/CPU/summary_1.csv,lichtblau,0.6082,,False,0.6082
liu,0.0399,6,22.0,59.0,0.2031,0.2031,4,6,5.0909,81.0,CPU,1,data/series_1/CPU/summary_1.csv,liu,0.0399,,False,0.0399
