Имя теста,Время (с),Размерность,crit1,crit2,Средняя память (MB),Максимальная память (MB),Кол. уравнений,Кол. переменных,Память в секунду (MB/s),Сумма критериев
assur44,257.3477,8,1884,3415,150.0473,208.8750,8,8,0.8116,5299
benchmark_D1,49.6483,12,2579,2348,75.0573,101.6758,12,12,2.0479,4927
benchmark_i1,243.9688,10,3556,3609,207.1701,334.3008,10,10,1.3703,7165
boon,0.0688,6,108,32,27.2031,52.5352,6,6,763.5924,140
butcher,2.1592,7,194,364,41.2168,54.5781,7,7,25.2770,558
butcher8,15.8654,8,568,1334,56.9002,61.8672,8,8,3.8995,1902
camera1s,1.2269,6,177,95,38.5208,58.0742,6,6,47.3341,272
caprasse,0.1147,4,65,183,27.2129,52.7148,4,4,459.5889,248
cassou,2.0349,5,39,155,45.9365,62.9805,4,5,30.9502,194
chandra4,0.0275,4,19,7,27.0020,52.4414,4,4,1906.9602,26
chandra5,0.1113,5,59,42,27.4414,53.2969,5,5,478.8578,101
chandra6,0.6622,6,188,248,27.6582,54.1328,6,6,81.7469,436
chemequ,0.4690,5,84,62,28.0723,54.8711,5,5,116.9959,146
chemequs,1.0071,5,95,78,41.1068,62.5156,5,5,62.0749,173
chemkin,501.7897,11,2156,3762,204.8563,330.1211,11,11,0.6579,5918
cohn2,2.8376,4,0,456,47.0516,58.9336,4,4,20.7688,456
cohn3,3899.1615,4,85,8053,491.5756,607.3789,4,4,0.1558,8138
comb3000,0.1229,10,151,14,27.5742,53.5156,10,10,435.4404,165
comb3000s,0.1341,10,151,17,28.4023,55.0977,10,10,410.8699,168
conform1,0.0218,3,9,31,26.8750,52.2852,3,3,2398.4017,40
cpdm5,35.4565,5,339,2474,61.7778,64.7148,5,5,1.8252,2813
cyclic5,0.3107,5,113,382,27.5742,53.5547,5,5,172.3678,495
cyclic6,10.9007,6,548,3163,54.0132,59.4648,6,6,5.4551,3711
d1,48.7535,12,2581,2342,75.0728,99.8672,12,12,2.0484,4923
des18_3,3.3199,8,275,377,45.2563,57.8633,8,8,17.4292,652
des22_24,4.7241,10,501,350,49.7439,59.9766,10,10,12.6959,851
dessin1,3.3885,8,275,375,45.2094,57.8359,8,8,17.0683,650
dessin2,6.6393,10,558,315,51.6064,61.9492,10,10,9.3307,873
eco7,1.8148,7,272,230,41.0938,54.4297,7,7,29.9921,502
eco8,14.2908,8,792,984,54.6387,59.1484,8,8,4.1389,1776
eco9,158.9366,9,2287,3638,71.1904,73.6172,9,9,0.4632,5925
extcyc4,0.3136,5,120,394,27.4492,53.4375,5,5,170.4002,514
extcyc5,82.2014,6,738,9177,78.0286,92.1523,6,6,1.1211,9915
f633,1.1739,10,318,605,35.7552,53.1836,9,10,45.3050,923
f744,218.8186,12,3455,3940,98.6409,110.1953,12,12,0.5036,7395
fabrice24,102.2984,9,1227,1011,107.2666,130.3008,9,9,1.2737,2238
filter9,124.5354,9,5626,15590,82.6715,95.8203,9,9,0.7694,21216
geneig,0.5341,6,94,51,27.7383,54.2109,6,6,101.4996,145
hairer1,0.0328,8,42,24,26.5566,52.0898,6,8,1588.1050,66
hcyclic5,0.1416,6,89,545,27.3633,53.1680,5,6,375.4800,634
hcyclic6,4.7732,7,273,4132,48.2556,56.4766,6,7,11.8320,4405
heart,0.0654,8,75,3,27.3398,53.1055,8,8,812.0102,78
hemmecke,0.0433,4,11,14,26.8770,52.3750,3,4,1209.5843,25
hf744,166.8046,13,1906,18033,77.5066,83.3711,12,13,0.4998,19939
hietarinta1,109.2176,10,3783,3303,99.0871,115.0898,62,10,1.0538,7086
hunecke,0.0054,5,1,15,26.5312,51.8555,8,5,9602.8646,16
i1,217.3010,12,3512,3527,186.7699,242.5938,10,12,1.1164,7039
issac97,0.1365,4,25,15,27.6074,53.6484,4,4,393.0288,40
jcf26,156.6320,34,3652,1013,128.0502,152.8320,34,34,0.9757,4665
katsura6,5.6551,7,280,432,48.1735,56.2812,7,7,9.9523,712
