Имя теста,Время (с),Размерность,crit1,crit2,Средняя память (MB),Максимальная память (MB),Кол. уравнений,Кол. переменных,Память в секунду (MB/s),Сумма критериев
katsura7,48.6636,8,719,1755,63.1964,65.9141,8,8,1.3545,2474
katsura8,456.9090,9,2237,7408,100.3536,107.0859,9,9,0.2344,9645
kin1,43.4047,12,2022,1806,78.9212,99.8242,12,12,2.2998,3828
kinema,5.1399,9,377,319,48.5781,56.8945,9,9,11.0692,696
kotsireas,406.1549,7,747,2964,312.7221,379.6562,6,7,0.9348,3711
ku10,0.1215,10,795,124,27.0859,52.7188,10,10,433.8992,919
lanconelli,0.0037,11,7,2,26.8066,51.8555,4,11,14014.9916,9
lichtblau,0.6086,3,4,111,30.1523,58.3398,2,3,95.8591,115
liu,0.0411,6,22,60,26.8594,52.1445,4,6,1268.7234,82
lorentz,0.0238,4,27,15,27.0684,52.0352,4,4,2186.3511,42
matrix,1.9651,16,4951,6826,41.0000,54.2188,16,16,27.5908,11777
mickey,0.0002,2,1,0,26.6348,51.6953,2,2,258476.5625,1
morgenstern,0.1585,9,114,162,27.0488,52.5430,5,9,331.5014,276
noon5,6.8472,5,304,1989,49.9045,56.5859,5,5,8.2641,2293
noon6,173.0261,6,1432,16457,68.0467,69.9766,6,6,0.4044,17889
puma,0.0531,8,95,5,27.3203,53.2070,8,8,1002.0157,100
quadfor2,0.0016,5,8,0,26.6445,51.7070,4,5,32316.8945,8
quadgrid,0.0266,6,22,2,27.0664,52.6602,5,6,1979.7051,24
rabmo,1.9396,9,318,67,41.3867,54.6836,9,9,28.1932,385
rbpl,142.4944,8,1454,7231,74.7053,80.8555,6,8,0.5674,8685
rbpl24,136.6937,9,1257,1089,124.0730,159.4727,9,9,1.1666,2346
redcyc5,0.2442,6,93,157,27.4609,53.4766,5,6,218.9867,250
redcyc6,10.1751,7,417,1967,52.0101,57.1836,6,7,5.6200,2384
redeco10,146.5777,10,7418,24836,73.1741,78.1992,10,10,0.5335,32254
redeco7,0.5621,7,203,249,27.6211,53.6562,7,7,95.4568,452
redeco8,3.5743,8,659,1258,44.4562,55.5117,8,8,15.5308,1917
redeco9,21.9579,9,2194,5737,56.7920,60.2969,9,9,2.7460,7931
reif,0.0825,16,302,24,26.9727,52.3789,14,16,634.8958,326
reimer4,4.2434,4,64,311,47.1595,56.8828,4,4,13.4050,375
reimer5,78.3080,5,279,1964,74.3744,81.0898,5,5,1.0355,2243
rose,0.2013,3,12,110,27.4980,53.4336,3,3,265.4426,122
s9_1,0.0598,8,74,9,27.6367,53.1641,8,8,889.0311,83
solotarev,0.0080,4,18,2,26.8047,51.8828,4,4,6485.3516,20
sparse5,0.0015,5,10,0,26.6602,51.7109,5,5,34473.9583,10
speer,9.5256,6,104,1924,51.6697,57.7656,4,6,6.0643,2028
tangents,1.5183,6,226,127,37.0273,55.3750,6,6,36.4717,353
test,0.0060,3,1,4,26.6777,51.8164,4,3,8636.0677,5
uteshev_bikker,0.4562,4,36,62,28.1777,54.5039,4,4,119.4737,98
vermeer,1.0661,5,58,244,36.7656,54.1875,4,5,50.8278,302
