Имя теста,Время (с),Размерность,crit1,crit2,Средняя память (MB),Максимальная память (MB),Кол. уравнений,Кол. переменных,Память в секунду (MB/s),Сумма критериев
redcyc6,9.3862,7,414,1962,50.1816,56.3242,6,7,6.0007,2376
redeco10,140.0256,10,7418,24869,72.3378,76.9805,10,10,0.5498,32287
redeco7,0.3853,7,203,265,0.2578,0.2578,7,7,0.6691,468
redeco8,2.9068,8,659,1275,40.7686,54.6016,8,8,18.7841,1934
redeco9,19.2090,9,2194,5766,55.4799,59.5938,9,9,3.1024,7960
reif,0.0795,16,302,24,0.1992,0.1992,14,16,2.5059,326
reimer4,4.0700,4,64,312,44.5734,56.3008,4,4,13.8331,376
reimer5,76.2669,5,290,1960,74.8109,82.2188,5,5,1.0780,2250
rose,0.1954,3,12,111,0.1875,0.1875,3,3,0.9596,123
s9_1,0.0603,8,74,10,0.1953,0.1953,8,8,3.2390,84
solotarev,0.0077,4,18,2,0.8789,0.8789,4,4,114.1437,20
sparse5,0.0015,5,10,0,0.1992,0.1992,5,5,132.8125,10
speer,7.8008,6,100,1830,49.5469,56.2383,4,6,7.2093,1930
tangents,1.4777,6,226,130,27.2168,54.2305,6,6,36.6992,356
test,0.0058,3,1,4,0.2031,0.2031,4,3,35.0216,5
uteshev_bikker,0.3977,4,36,65,0.1875,0.1875,4,4,0.4715,101
vermeer,0.7335,5,62,265,0.1348,0.2695,4,5,0.3675,327
