Имя теста,Время (с),Размерность,crit1,crit2,Средняя память (MB),Максимальная память (MB),Кол. уравнений,Кол. переменных,Память в секунду (MB/s),Сумма критериев
dessin2,6.3662,10,558,323,51.5498,62.0078,10,10,9.7402,881
eco7,1.5850,7,262,214,36.6862,54.2812,7,7,34.2468,476
eco8,13.3733,8,755,914,55.0083,60.3125,8,8,4.5099,1669
eco9,147.4698,9,2277,3651,69.2088,71.2109,9,9,0.4829,5928
extcyc4,0.3536,5,137,456,27.3945,53.5000,5,5,151.3009,593
extcyc5,57.3026,6,738,9176,70.7140,86.6562,6,6,1.5123,9914
f633,1.2664,10,318,594,35.9948,53.2031,9,10,42.0113,912
f744,248.8223,12,3711,4156,104.5929,120.0273,12,12,0.4824,7867
fabrice24,107.0555,9,1227,1010,107.3229,130.5273,9,9,1.2192,2237
filter9,131.8091,9,5636,15637,83.7947,97.5234,9,9,0.7399,21273
geneig,0.5654,6,94,51,27.8887,54.2148,6,6,95.8876,145
hairer1,0.0330,8,42,24,26.8203,52.0898,6,8,1578.4801,66
hcyclic5,0.1435,6,89,545,27.5000,53.2188,5,6,370.8624,634
hcyclic6,5.1390,7,273,4118,48.3052,56.4922,6,7,10.9928,4391
heart,0.0728,8,75,3,27.2754,53.1094,8,8,729.5244,78
hemmecke,0.0443,4,11,14,26.8320,52.3711,3,4,1182.1917,25
hf744,170.3877,13,1906,17996,76.7538,82.4648,12,13,0.4840,19902
hietarinta1,104.7822,10,3625,3143,92.5686,104.3945,62,10,0.9963,6768
hunecke,0.0055,5,1,15,26.7148,51.8594,8,5,9428.9773,16
i1,247.5926,12,3511,3498,187.9580,234.4102,10,12,0.9468,7009
issac97,0.1383,4,25,15,27.8730,53.6562,4,4,387.9700,40
jcf26,166.6975,34,3652,1007,129.9919,154.4766,34,34,0.9267,4659
katsura6,5.8580,7,280,428,49.2280,56.3164,7,7,9.6136,708
katsura7,48.8620,8,719,1755,63.0290,65.7070,8,8,1.3447,2474
katsura8,437.3055,9,2237,7433,98.3085,104.6992,9,9,0.2394,9670
kin1,43.6965,12,2022,1816,77.7367,95.0078,12,12,2.1743,3838
kinema,5.2514,9,377,319,48.4537,56.8320,9,9,10.8223,696
kotsireas,915.9244,7,765,3023,337.8436,398.7461,6,7,0.4353,3788
ku10,0.1198,10,795,126,27.0117,52.7500,10,10,440.3172,921
lanconelli,0.0131,11,9,3,26.7852,52.0977,4,11,3976.9203,12
lichtblau,0.6119,3,4,110,29.9531,58.3242,2,3,95.3166,114
liu,0.0371,6,19,23,26.7637,52.0820,4,6,1403.8283,42
lorentz,0.0204,4,27,18,26.7969,52.0352,4,4,2550.7430,45
matrix,1.9636,16,4951,6873,40.9160,54.1367,16,16,27.5701,11824
mickey,0.0003,2,1,0,26.6367,51.6953,2,2,172317.7083,1
morgenstern,0.1541,9,114,162,26.7695,52.5078,5,9,340.7386,276
noon5,6.9507,5,304,1990,49.8997,56.5938,5,5,8.1422,2294
noon6,174.1532,6,1432,16410,67.9508,69.8516,6,6,0.4011,17842
puma,0.0533,8,95,5,27.4219,53.2266,8,8,998.6222,100
quadfor2,0.0017,5,8,0,26.5801,51.7148,4,5,30420.4963,8
quadgrid,0.0264,6,22,2,27.2578,52.6602,5,6,1994.7029,24
rabmo,1.9423,9,318,66,41.4072,54.6914,9,9,28.1581,384
rbpl,204.9220,8,1454,7229,74.5055,78.5977,6,8,0.3835,8683
rbpl24,101.1834,9,1227,1020,105.9943,128.7930,9,9,1.2729,2247
redcyc5,0.2358,6,93,160,27.3516,53.4219,5,6,226.5559,253
redcyc6,9.4922,7,415,1963,51.4052,57.0312,6,7,6.0082,2378
redeco10,149.3948,10,7418,24822,73.6778,79.1367,10,10,0.5297,32240
redeco7,0.5444,7,203,249,27.6758,53.7383,7,7,98.7110,452
redeco8,3.4991,8,659,1261,44.4680,55.4961,8,8,15.8601,1920
redeco9,22.6532,9,2194,5735,57.0648,60.8086,9,9,2.6843,7929
reif,0.0792,16,302,24,27.0039,52.3828,14,16,661.3991,326
reimer4,4.3392,4,64,312,47.1250,56.8555,4,4,13.1028,376
reimer5,79.2203,5,290,1952,75.9492,83.3867,5,5,1.0526,2242
rose,0.1963,3,12,110,27.4961,53.4219,3,3,272.1440,122
s9_1,0.0583,8,74,9,27.2168,53.1641,8,8,911.9050,83
solotarev,0.0080,4,18,2,26.7227,51.8906,4,4,6486.3281,20
sparse5,0.0016,5,10,0,26.5742,51.7305,5,5,32331.5430,10
speer,8.8786,6,104,1928,51.5721,57.6055,4,6,6.4881,2032
tangents,1.5440,6,226,126,37.2253,55.4297,6,6,35.9001,352
test,0.0058,3,1,4,26.6348,51.8242,4,3,8935.2101,5
uteshev_bikker,0.4697,4,36,62,28.2266,54.4922,4,4,116.0149,98
vermeer,0.7902,5,54,217,36.4622,53.8867,4,5,68.1938,271
