Имя теста,Время (с),Размерность,crit1,crit2,Средняя память (MB),Максимальная память (MB),Кол. уравнений,Кол. переменных,Память в секунду (MB/s),Сумма критериев
jcf26,179.2177,34,3643,1050,133.2303,162.0742,34,34,0.9043,4693
katsura6,6.1401,7,280,425,47.9849,56.3594,7,7,9.1789,705
katsura7,48.7487,8,719,1752,61.6280,65.8516,8,8,1.3508,2471
katsura8,432.7377,9,2237,7430,98.7866,106.1289,9,9,0.2452,9667
kin1,42.9875,12,2022,1804,76.3314,94.3281,12,12,2.1943,3826
kinema,4.8445,9,377,331,46.6484,56.4258,9,9,11.6474,708
kotsireas,288.2493,7,750,2977,205.0479,263.2070,6,7,0.9131,3727
ku10,0.1020,10,795,190,0.2031,0.2031,10,10,1.9914,985
lanconelli,0.0124,11,9,3,0.1914,0.1914,4,11,15.4360,12
lichtblau,0.5889,3,4,117,0.2656,0.2656,2,3,0.4511,121
liu,0.0326,6,19,26,0.1875,0.1875,4,6,5.7515,45
lorentz,0.0202,4,27,17,0.1992,0.1992,4,4,9.8623,44
matrix,1.9558,16,4951,6814,35.7760,53.7344,16,16,27.4744,11765
mickey,0.0002,2,1,0,0.2031,0.2031,2,2,1015.6250,1
morgenstern,0.1548,9,114,159,0.1914,0.1914,5,9,1.2365,273
noon5,6.2876,5,304,2047,47.4442,55.7734,5,5,8.8704,2351
noon6,170.5402,6,1425,16188,67.3727,69.3555,6,6,0.4067,17613
puma,0.0464,8,84,6,0.1992,0.1992,8,8,4.2935,90
quadfor2,0.0015,5,8,0,0.2031,0.2031,4,5,135.4167,8
quadgrid,0.0239,6,22,3,0.3945,0.3945,5,6,16.5076,25
rabmo,1.9520,9,318,75,36.1172,54.1953,9,9,27.7640,393
rbpl,221.3794,8,1462,7314,75.7893,80.0273,6,8,0.3615,8776
rbpl24,124.1766,9,1225,1059,110.0323,129.6367,9,9,1.0440,2284
redcyc5,0.2287,6,93,161,0.1992,0.1992,5,6,0.8711,254
redcyc6,9.4680,7,419,1991,50.4297,56.5469,6,7,5.9724,2410
redeco10,137.6570,10,7418,24871,72.1585,76.7852,10,10,0.5578,32289
redeco7,0.3679,7,203,265,0.2070,0.2070,7,7,0.5627,468
redeco8,2.7994,8,659,1276,40.7979,54.6211,8,8,19.5117,1935
redeco9,20.1146,9,2194,5760,55.8687,60.0273,9,9,2.9843,7954
reif,0.0787,16,302,24,0.2031,0.2031,14,16,2.5810,326
reimer4,4.0720,4,64,312,44.5461,56.2852,4,4,13.8225,376
reimer5,75.7073,5,290,1956,74.9707,82.4336,5,5,1.0888,2246
rose,0.1899,3,12,111,0.2031,0.2031,3,3,1.0696,123
s9_1,0.0546,8,74,10,0.2695,0.2695,8,8,4.9365,84
solotarev,0.0078,4,18,2,0.2031,0.2031,4,4,26.0417,20
sparse5,0.0015,5,10,0,0.2031,0.2031,5,5,135.4167,10
speer,8.7966,6,104,1941,50.4531,56.9375,4,6,6.4727,2045
tangents,1.4102,6,226,133,27.3809,54.5586,6,6,38.6886,359
test,0.0058,3,1,4,0.2031,0.2031,4,3,35.0216,5
uteshev_bikker,0.3796,4,36,67,0.2656,0.2656,4,4,0.6997,103
vermeer,0.7570,5,62,264,0.1660,0.3320,4,5,0.4386,326
