Имя теста,Время (с),Размерность,crit1,crit2,Средняя память (MB),Максимальная память (MB),Кол. уравнений,Кол. переменных,Память в секунду (MB/s),Сумма критериев
assur44,268.5635,8,1874,3363,157.1184,221.9648,8,8,0.8265,5237
benchmark_D1,46.4133,12,2279,2001,78.9631,101.3359,12,12,2.1833,4280
benchmark_i1,228.2923,10,3518,3564,180.8709,225.1992,10,10,0.9865,7082
boon,0.0690,6,108,27,0.2031,0.2031,6,6,2.9438,135
butcher,2.5079,7,199,391,36.3021,54.6133,7,7,21.7765,590
butcher8,16.1430,8,568,1333,56.1625,61.2695,8,8,3.7954,1901
camera1s,1.1256,6,177,94,27.8984,55.5312,6,6,49.3348,271
caprasse,0.1088,4,65,188,0.3320,0.3320,4,4,3.0518,253
cassou,1.9585,5,39,155,40.3958,62.3008,4,5,31.8105,194
chandra4,0.0231,4,19,7,0.2070,0.2070,4,4,8.9624,26
chandra5,0.0970,5,59,48,0.2656,0.2656,5,5,2.7384,107
chandra6,0.4970,6,188,263,0.2031,0.2031,6,6,0.4087,451
chemequ,0.3938,5,81,60,0.1953,0.1953,5,5,0.4960,141
chemequs,1.0442,5,95,78,29.5781,58.9766,5,5,56.4801,173
chemkin,519.2488,11,2210,3923,223.3985,359.9609,11,11,0.6932,6133
cohn2,3.3295,4,0,437,43.0732,59.3906,4,4,17.8377,437
cohn3,4765.2788,4,81,7349,504.9613,558.4922,4,4,0.1172,7430
comb3000,0.1007,10,151,19,0.1914,0.1914,10,10,1.9008,170
comb3000s,0.1229,10,151,20,0.2031,0.2031,10,10,1.6528,171
conform1,0.0224,3,9,30,0.1914,0.1914,3,3,8.5449,39
cpdm5,40.1006,5,348,2586,62.2640,65.5859,5,5,1.6355,2934
cyclic5,0.2274,5,98,353,0.2500,0.2500,5,5,1.0994,451
cyclic6,12.5707,6,564,3891,53.7148,59.9023,6,6,4.7652,4455
d1,46.6541,12,2279,2000,78.8431,100.9453,12,12,2.1637,4279
des18_3,3.3026,8,275,375,41.4922,55.9414,8,8,16.9386,650
des22_24,4.1951,10,501,364,45.3156,59.2422,10,10,14.1218,865
dessin1,3.2601,8,275,377,41.4727,55.9922,8,8,17.1750,652
dessin2,6.0731,10,558,334,49.4464,60.7383,10,10,10.0012,892
eco7,1.6127,7,272,238,26.9453,53.5977,7,7,33.2347,510
eco8,13.3321,8,802,993,54.2349,59.6016,8,8,4.4705,1795
eco9,161.7070,9,2348,3773,69.0231,70.9961,9,9,0.4390,6121
extcyc4,0.3082,5,137,460,0.1992,0.1992,5,5,0.6464,597
extcyc5,59.3014,6,738,9169,70.2990,84.4961,6,6,1.4249,9907
f633,0.9744,10,318,630,26.3555,52.5078,9,10,53.8873,948
f744,194.7977,12,3358,3777,90.1434,100.9062,12,12,0.5180,7135
fabrice24,127.6233,9,1225,1051,111.6975,131.9805,9,9,1.0341,2276
filter9,138.8264,9,6132,17055,80.0463,94.9375,9,9,0.6839,23187
geneig,0.5121,6,94,52,0.3906,0.3906,6,6,0.7628,146
hairer1,0.0290,8,42,25,0.2031,0.2031,6,8,7.0043,67
hcyclic5,0.1514,6,89,544,0.2031,0.2031,5,6,1.3416,633
hcyclic6,4.6471,7,273,4134,44.4422,56.1094,6,7,12.0741,4407
heart,0.0635,8,75,3,0.2070,0.2070,8,8,3.2603,78
hemmecke,0.0412,4,11,14,0.2500,0.2500,3,4,6.0680,25
hf744,159.3143,13,1906,18079,76.9771,83.1641,12,13,0.5220,19985
hietarinta1,97.7933,10,3582,3093,90.1851,101.5664,62,10,1.0386,6675
hunecke,0.0052,5,1,15,0.2031,0.2031,8,5,39.0625,16
i1,281.7833,12,3517,3566,186.9599,244.7500,10,12,0.8686,7083
issac97,0.1109,4,25,18,0.2031,0.2031,4,4,1.8316,43
