test_name,time_raw,dimension,crit1,crit2,avg_memory_mb,max_memory_mb,equation_count,variable_count,memory_per_sec,criteria_sum,resource,config,source_file,test_key,time_seconds,timeout_seconds,timed_out,effective_time_seconds
hairer1,0.0397,8,42,24,0.207,0.207,6,8,5.2141,66,SWAP,2,data/series_1/SWAP/summary_2.csv,hairer1,0.0397,,False,0.0397
hcyclic5,0.1913,6,89,542,0.2656,0.2656,5,6,1.3884,631,SWAP,2,data/series_1/SWAP/summary_2.csv,hcyclic5,0.1913,,False,0.1913
hcyclic6,6.6598,7,273,4129,46.304,56.1523,6,7,8.4315,4402,SWAP,2,data/series_1/SWAP/summary_2.csv,hcyclic6,6.6598,,False,6.6598
heart,0.0848,8,75,3,0.1992,0.1992,8,8,2.3491,78,SWAP,2,data/series_1/SWAP/summary_2.csv,heart,0.0848,,False,0.0848
hemmecke,0.056,4,11,14,0.5508,0.5508,3,4,9.8357,25,SWAP,2,data/series_1/SWAP/summary_2.csv,hemmecke,0.056,,False,0.056
hf744,236.4975,13,1906,18083,76.491,82.0156,12,13,0.3468,19989,SWAP,2,data/series_1/SWAP/summary_2.csv,hf744,236.4975,,False,236.4975
hietarinta1,281.0595,10,6214,5858,109.2139,128.9219,62,10,0.4587,12072,SWAP,2,data/series_1/SWAP/summary_2.csv,hietarinta1,281.0595,,False,281.0595
hunecke,0.0065,5,1,15,27.7695,51.8438,8,5,7975.9692,16,SWAP,2,data/series_1/SWAP/summary_2.csv,hunecke,0.0065,,False,0.0065
i1,351.3345,12,3516,3515,171.023,214.6328,10,12,0.6109,7031,SWAP,2,data/series_1/SWAP/summary_2.csv,i1,351.3345,,False,351.3345
issac97,0.182,4,25,15,27.7207,53.7031,4,4,295.072,40,SWAP,2,data/series_1/SWAP/summary_2.csv,issac97,0.182,,False,0.182
jcf26,390.8387,34,3689,1037,158.9669,200.0781,34,34,0.5119,4726,SWAP,2,data/series_1/SWAP/summary_2.csv,jcf26,390.8387,,False,390.8387
katsura6,8.8529,7,280,429,50.0326,56.3438,7,7,6.3644,709,SWAP,2,data/series_1/SWAP/summary_2.csv,katsura6,8.8529,,False,8.8529
katsura7,76.5989,8,719,1755,63.8821,66.6289,8,8,0.8698,2474,SWAP,2,data/series_1/SWAP/summary_2.csv,katsura7,76.5989,,False,76.5989
katsura8,741.8758,9,2237,7425,100.1344,107.2109,9,9,0.1445,9662,SWAP,2,data/series_1/SWAP/summary_2.csv,katsura8,741.8758,,False,741.8758
kin1,70.2614,12,2022,1808,78.6396,97.2695,12,12,1.3844,3830,SWAP,2,data/series_1/SWAP/summary_2.csv,kin1,70.2614,,False,70.2614
kinema,7.6023,9,377,325,49.5869,56.8789,9,9,7.4818,702,SWAP,2,data/series_1/SWAP/summary_2.csv,kinema,7.6023,,False,7.6023
kotsireas,547.8585,7,747,2969,275.7465,340.2031,6,7,0.621,3716,SWAP,2,data/series_1/SWAP/summary_2.csv,kotsireas,547.8585,,False,547.8585
ku10,0.1469,10,795,123,27.2129,52.6758,10,10,358.5827,918,SWAP,2,data/series_1/SWAP/summary_2.csv,ku10,0.1469,,False,0.1469
lanconelli,0.0048,11,7,2,26.6523,51.8633,4,11,10804.8542,9,SWAP,2,data/series_1/SWAP/summary_2.csv,lanconelli,0.0048,,False,0.0048
lichtblau,0.859,3,4,111,29.6172,58.3984,2,3,67.9842,115,SWAP,2,data/series_1/SWAP/summary_2.csv,lichtblau,0.859,,False,0.859
liu,0.0587,6,22,57,26.9727,52.1953,4,6,889.1874,79,SWAP,2,data/series_1/SWAP/summary_2.csv,liu,0.0587,,False,0.0587
lorentz,0.0282,4,27,15,28.1504,52.043,4,4,1845.4965,42,SWAP,2,data/series_1/SWAP/summary_2.csv,lorentz,0.0282,,False,0.0282
matrix,2.4882,16,4951,6864,41.0205,54.2109,16,16,21.7872,11815,SWAP,2,data/series_1/SWAP/summary_2.csv,matrix,2.4882,,False,2.4882
mickey,0.0004,2,1,0,26.666,51.7031,2,2,129257.75,1,SWAP,2,data/series_1/SWAP/summary_2.csv,mickey,0.0004,,False,0.0004
morgenstern,0.1993,9,114,160,27.3281,52.5508,5,9,263.6769,274,SWAP,2,data/series_1/SWAP/summary_2.csv,morgenstern,0.1993,,False,0.1993
noon5,9.229,5,304,1988,49.9288,56.6211,5,5,6.1351,2292,SWAP,2,data/series_1/SWAP/summary_2.csv,noon5,9.229,,False,9.229
noon6,265.4174,6,1432,16306,67.9186,69.707,6,6,0.2626,17738,SWAP,2,data/series_1/SWAP/summary_2.csv,noon6,265.4174,,False,265.4174
puma,0.0674,8,84,6,27.6426,53.1797,8,8,789.0163,90,SWAP,2,data/series_1/SWAP/summary_2.csv,puma,0.0674,,False,0.0674
quadfor2,0.0019,5,8,0,26.668,51.7344,4,5,27228.6316,8,SWAP,2,data/series_1/SWAP/summary_2.csv,quadfor2,0.0019,,False,0.0019
quadgrid,0.0334,6,22,2,27.125,52.6719,5,6,1577.003,24,SWAP,2,data/series_1/SWAP/summary_2.csv,quadgrid,0.0334,,False,0.0334
rabmo,2.6393,9,318,63,41.3975,54.6992,9,9,20.7249,381,SWAP,2,data/series_1/SWAP/summary_2.csv,rabmo,2.6393,,False,2.6393
rbpl,242.191,8,1454,7244,75.0797,80.1094,6,8,0.3308,8698,SWAP,2,data/series_1/SWAP/summary_2.csv,rbpl,242.191,,False,242.191
rbpl24,149.4416,9,1227,1011,107.3966,129.793,9,9,0.8685,2238,SWAP,2,data/series_1/SWAP/summary_2.csv,rbpl24,149.4416,,False,149.4416
redcyc5,0.3068,6,93,158,27.5059,53.5117,5,6,174.4188,251,SWAP,2,data/series_1/SWAP/summary_2.csv,redcyc5,0.3068,,False,0.3068
redcyc6,13.4074,7,424,1988,51.7425,56.8789,6,7,4.2424,2412,SWAP,2,data/series_1/SWAP/summary_2.csv,redcyc6,13.4074,,False,13.4074
