Имя теста,Время (с),Размерность,crit1,crit2,Средняя память (MB),Максимальная память (MB),Кол. уравнений,Кол. переменных,Память в секунду (MB/s),Сумма критериев
redcyc5,0.3022,6,93,158,27.5059,53.5117,5,6,177.0738,251
redcyc6,13.2063,7,424,1988,51.7425,56.8789,6,7,4.3070,2412
redeco10,222.2832,10,7418,24792,73.8725,79.2500,10,10,0.3565,32210
redeco7,0.6666,7,203,249,27.4785,53.6602,7,7,80.4983,452
redeco8,5.5163,8,659,1242,46.6374,56.0430,8,8,10.1595,1901
redeco9,31.1834,9,2194,5727,57.1462,60.5977,9,9,1.9433,7921
reif,0.0896,16,302,24,26.9727,52.3711,14,16,584.4989,326
reimer4,5.4694,4,64,311,47.5612,56.9141,4,4,10.4059,375
reimer5,112.0179,5,279,1965,74.2024,80.6211,5,5,0.7197,2244
rose,0.2466,3,12,110,27.2266,53.4375,3,3,216.6971,122
s9_1,0.0724,8,74,9,27.4668,53.0938,8,8,733.3398,83
solotarev,0.0098,4,18,2,27.1172,51.8945,4,4,5295.3571,20
sparse5,0.0019,5,10,0,26.5625,51.7344,5,5,27228.6316,10
speer,13.6046,6,117,2167,52.6238,57.8047,4,6,4.2489,2284
tangents,1.7594,6,226,139,37.4284,55.2617,6,6,31.4094,365
test,0.0072,3,1,4,26.9707,51.8438,4,3,7200.5278,5
uteshev_bikker,0.5842,4,36,62,27.9805,54.5625,4,4,93.3970,98
vermeer,1.0799,5,54,212,36.2995,53.9688,4,5,49.9757,266
