Имя теста,Время (с),Размерность,crit1,crit2,Средняя память (MB),Максимальная память (MB),Кол. уравнений,Кол. переменных,Память в секунду (MB/s),Сумма критериев
assur44,454.9651,8,1933,3552,145.3287,193.9805,8,8,0.4264,5485
benchmark_D1,79.4604,12,2279,2003,80.1376,102.8828,12,12,1.2948,4282
benchmark_i1,414.6667,10,3518,3556,186.4006,232.1406,10,10,0.5598,7074
boon,0.1001,6,108,29,0.3984,0.3984,6,6,3.9800,137
butcher,3.6442,7,199,393,40.6855,54.5352,7,7,14.9649,592
butcher8,27.2172,8,569,1330,59.5572,66.7383,8,8,2.4521,1899
camera1s,1.6554,6,177,96,27.8301,54.9141,6,6,33.1727,273
caprasse,0.1554,4,65,188,0.1914,0.1914,4,4,1.2317,253
cassou,2.9873,5,39,154,39.2982,61.3008,4,5,20.5205,193
chandra4,0.0345,4,19,7,1.0273,1.0273,4,4,29.7768,26
chandra5,0.1372,5,59,48,0.1992,0.1992,5,5,1.4519,107
chandra6,0.7634,6,188,262,0.0996,0.1992,6,6,0.2609,450
chemequ,0.5961,5,81,60,0.2031,0.2031,5,5,0.3407,141
chemequs,1.5550,5,95,79,29.1094,57.8164,5,5,37.1810,174
chemkin,837.5702,11,2210,3914,197.7055,324.6602,11,11,0.3876,6124
cohn2,3.9456,4,0,417,42.6172,57.9609,4,4,14.6900,417
cohn3,3771.4060,4,79,7341,507.8188,567.3125,4,4,0.1504,7420
comb3000,0.1306,10,151,19,0.2031,0.2031,10,10,1.5551,170
comb3000s,0.1542,10,151,20,0.3125,0.3125,10,10,2.0266,171
conform1,0.0277,3,9,30,0.1992,0.1992,3,3,7.1913,39
cpdm5,57.7888,5,348,2586,62.0093,64.6016,5,5,1.1179,2934
cyclic5,0.3154,5,98,350,0.1992,0.1992,5,5,0.6316,448
cyclic6,18.4585,6,564,3891,55.5917,63.3516,6,6,3.4321,4455
d1,81.8140,12,2279,1994,84.8789,106.0820,12,12,1.2966,4273
des18_3,5.3002,8,275,375,44.3062,56.1133,8,8,10.5870,650
des22_24,6.1447,10,501,370,47.1022,59.3164,10,10,9.6533,871
dessin1,5.2270,8,275,377,44.3844,56.3086,8,8,10.7726,652
dessin2,9.3684,10,558,333,50.2432,60.7305,10,10,6.4825,891
eco7,2.1660,7,261,217,35.8789,53.8203,7,7,24.8478,478
eco8,21.1464,8,789,959,54.8079,59.4414,8,8,2.8109,1748
eco9,255.2796,9,2206,3571,70.6546,72.8945,9,9,0.2855,5777
extcyc4,0.4625,5,137,460,0.4062,0.4062,5,5,0.8783,597
extcyc5,93.3133,6,738,9167,71.5584,86.8164,6,6,0.9304,9905
f633,1.3031,10,318,627,26.3027,52.4023,9,10,40.2136,945
f744,305.0331,12,3574,4121,99.0200,114.0078,12,12,0.3738,7695
fabrice24,185.0093,9,1225,1051,110.3032,129.6641,9,9,0.7009,2276
filter9,256.8842,9,6284,17292,85.4673,102.6836,9,9,0.3997,23576
geneig,0.7154,6,94,51,0.2031,0.2031,6,6,0.2839,145
hairer1,0.0397,8,42,24,0.2070,0.2070,6,8,5.2141,66
hcyclic5,0.1913,6,89,542,0.2656,0.2656,5,6,1.3884,631
hcyclic6,6.6598,7,273,4129,46.3040,56.1523,6,7,8.4315,4402
heart,0.0848,8,75,3,0.1992,0.1992,8,8,2.3491,78
hemmecke,0.0560,4,11,14,0.5508,0.5508,3,4,9.8357,25
hf744,236.4975,13,1906,18083,76.4910,82.0156,12,13,0.3468,19989
hietarinta1,281.0595,10,6214,5858,109.2139,128.9219,62,10,0.4587,12072
hunecke,0.0065,5,1,15,27.7695,51.8438,8,5,7975.9692,16
i1,351.3345,12,3516,3515,171.0230,214.6328,10,12,0.6109,7031
issac97,0.1820,4,25,15,27.7207,53.7031,4,4,295.0720,40
jcf26,390.8387,34,3689,1037,158.9669,200.0781,34,34,0.5119,4726
katsura6,8.8529,7,280,429,50.0326,56.3438,7,7,6.3644,709
katsura7,76.5989,8,719,1755,63.8821,66.6289,8,8,0.8698,2474
katsura8,741.8758,9,2237,7425,100.1344,107.2109,9,9,0.1445,9662
kin1,70.2614,12,2022,1808,78.6396,97.2695,12,12,1.3844,3830
kinema,7.6023,9,377,325,49.5869,56.8789,9,9,7.4818,702
kotsireas,547.8585,7,747,2969,275.7465,340.2031,6,7,0.6210,3716
ku10,0.1469,10,795,123,27.2129,52.6758,10,10,358.5827,918
lanconelli,0.0048,11,7,2,26.6523,51.8633,4,11,10804.8542,9
lichtblau,0.8590,3,4,111,29.6172,58.3984,2,3,67.9842,115
liu,0.0587,6,22,57,26.9727,52.1953,4,6,889.1874,79
lorentz,0.0282,4,27,15,28.1504,52.0430,4,4,1845.4965,42
matrix,2.4882,16,4951,6864,41.0205,54.2109,16,16,21.7872,11815
mickey,0.0004,2,1,0,26.6660,51.7031,2,2,129257.7500,1
morgenstern,0.1993,9,114,160,27.3281,52.5508,5,9,263.6769,274
noon5,9.2290,5,304,1988,49.9288,56.6211,5,5,6.1351,2292
noon6,265.4174,6,1432,16306,67.9186,69.7070,6,6,0.2626,17738
puma,0.0674,8,84,6,27.6426,53.1797,8,8,789.0163,90
quadfor2,0.0019,5,8,0,26.6680,51.7344,4,5,27228.6316,8
quadgrid,0.0334,6,22,2,27.1250,52.6719,5,6,1577.0030,24
rabmo,2.6393,9,318,63,41.3975,54.6992,9,9,20.7249,381
rbpl,242.1910,8,1454,7244,75.0797,80.1094,6,8,0.3308,8698
rbpl24,149.4416,9,1227,1011,107.3966,129.7930,9,9,0.8685,2238
redcyc5,0.3068,6,93,158,27.5059,53.5117,5,6,174.4188,251
redcyc6,13.4074,7,424,1988,51.7425,56.8789,6,7,4.2424,2412
redeco10,225.6682,10,7418,24792,73.8725,79.2500,10,10,0.3512,32210
redeco7,0.6768,7,203,249,27.4785,53.6602,7,7,79.2852,452
redeco8,5.6003,8,659,1242,46.6374,56.0430,8,8,10.0071,1901
redeco9,31.6583,9,2194,5727,57.1462,60.5977,9,9,1.9141,7921
reif,0.0910,16,302,24,26.9727,52.3711,14,16,575.5066,326
reimer4,5.5527,4,64,311,47.5612,56.9141,4,4,10.2498,375
reimer5,113.7238,5,279,1965,74.2024,80.6211,5,5,0.7089,2244
rose,0.2504,3,12,110,27.2266,53.4375,3,3,213.4085,122
s9_1,0.0735,8,74,9,27.4668,53.0938,8,8,722.3646,83
solotarev,0.0100,4,18,2,27.1172,51.8945,4,4,5189.4500,20
sparse5,0.0019,5,10,0,26.5625,51.7344,5,5,27228.6316,10
speer,13.8118,6,117,2167,52.6238,57.8047,4,6,4.1852,2284
tangents,1.7862,6,226,139,37.4284,55.2617,6,6,30.9381,365
test,0.0073,3,1,4,26.9707,51.8438,4,3,7101.8904,5
uteshev_bikker,0.5931,4,36,62,27.9805,54.5625,4,4,91.9954,98
vermeer,1.0963,5,54,212,36.2995,53.9688,4,5,49.2281,266
